key,current_name,other_names,abbreviations,format,start_date,end_date,parents
D110,Office of Rail Regulation,"",ORR,Non-ministerial department,2004-07-05,2015-10-16,D9
D1108,Government Legal Department,"",GLD,Non-ministerial department,,,D1
D1117,Office of Rail and Road,"",ORR,Non-ministerial department,2015-10-16,,D9
D115,Serious Fraud Office,"",SFO,Non-ministerial department,,,D1
D116,UK Statistics Authority,"",Statistics,Non-ministerial department,,,""
D117,UK Trade & Investment,"",UKTI,Non-ministerial department,,2016-07-13,""
D1196,Department for International Trade,"",DIT,Ministerial department,,,""
D1197,Department for Exiting the European Union,"",DExEU,Ministerial department,,,""
D1198,"Department for Business, Energy & Industrial Strategy","",BEIS,Ministerial department,,,""
D12,Department of Health and Social Care,Department of Health\nDepartment of Health & Social Care,DHSC,Ministerial department,,,""
D13,Foreign & Commonwealth Office,"",FCO,Ministerial department,,,""
D15,HM Treasury,"",HMT,Ministerial department,,,""
D16,Home Office,"",Home Office,Ministerial department,,,""
D17,Ministry of Defence,"",MOD,Ministerial department,,,""
D18,Ministry of Justice,"",MOJ,Ministerial department,,,""
D19,Northern Ireland Office,"",NIO,Ministerial department,,,""
D2,Cabinet Office,"","",Ministerial department,,,""
D20,Office of the Advocate General for Scotland,"",OAG,Ministerial department,,,""
D21,Office of the Leader of the House of Commons,"",OLHC,Ministerial department,,,D2
D22,Office of the Leader of the House of Lords,"",OLHL,Ministerial department,,,D2
D23,Scotland Office,Office of the Secretary of State for Scotland,"",Ministerial department,,,""
D24,Office of the Secretary of State for Wales,Office of the Secretary of State for Wales Swyddfa Ysgrifennydd Gwladol Cymru,WO,Ministerial department,,,""
D240,The Water Services Regulation Authority,Office for Water Services,Ofwat,Non-ministerial department,,,D7
D241,UK Export Finance,"",UKEF,Ministerial department,,,""
D25,HM Revenue & Customs,"",HMRC,Non-ministerial department,,,""
D3,"Department for Business, Innovation & Skills",Department for Business Innovation & Skills,BIS,Ministerial department,,2016-07-14,""
D30,Treasury Solicitor’s Department,"",TSol,Non-ministerial department,,unknown,D1
D303,Office for National Statistics,"",ONS,Other,,,D116
D352,Office of Fair Trading,"",OFT,Non-ministerial department,,2014-04-01,D3
D38,Ordnance Survey,"",OS,Public corporation,,,D1198
D4,"Ministry of Housing, Communities and Local Government","Department for Communities and Local Government\nMinistry of Housing, Communities & Local Government","DCLG, MHCLG",Ministerial department,,,""
D435,Supreme Court of the United Kingdom,"",SCUK,Non-ministerial department,,,""
D5,"Department for Digital, Culture, Media and Sport","Department for Culture, Media & Sport\nDepartment for Digital, Culture Media & Sport\nDepartment for Digital, Culture, Media & Sport\nDigital, Culture, Media and Sport",DCMS,Ministerial department,,,""
D550,Competition and Markets Authority,"",CMA,Non-ministerial department,,,D1198
D582,Scottish Office,"","",Ministerial department,,1999,""
D583,Department for Education and Skills,"","",Ministerial department,,2007,""
D584,Department of Social Security,"","",Ministerial department,,2001,""
D585,Department of Education (Northern Ireland),"","",Other,,,""
D586,Department of Trade and Industry,"","",Ministerial department,,unknown,""
D587,Department for Constitutional Affairs,"","",Ministerial department,,unknown,""
D591,Department of the Environment (Northern Ireland),Department of the Environment,"",Ministerial department,,unknown,""
D595,Lord Chancellor's Department,"","",Ministerial department,,2003-06-12,""
D598,Department of Constitutional Affairs,"","",Ministerial department,,2007-05-09,""
D6,Department for Education,"",DfE,Ministerial department,,,""
D605,Department of Finance and Personnel for Northern Ireland,"","",Ministerial department,,unknown,""
D608,"Department for Innovation, Universities and Skills","","",Ministerial department,,2009-06,""
D609,"Department for Children, Schools and Families","","",Ministerial department,,unknown,""
D611,"Department for Business, Enterprise and Regulatory Reform","","",Ministerial department,,unknown,""
D631,Department of Inland Revenue,"","",Ministerial department,,2005-04,""
D69,HM Land Registry,"",HM Land Registry,Non-ministerial department,,,D1198
D7,"Department for Environment, Food & Rural Affairs",Department for Environment Food & Rural Affairs,Defra,Ministerial department,,,""
D746,"Department of Health, Social Services and Public Safety","","",Ministerial department,,unknown,""
D747,Department for Regional Development,"","",Ministerial department,,unknown,""
D748,Department for Social Development,"","",Ministerial department,,unknown,""
D750,"Department of Enterprise, Trade and Investment","","",Ministerial department,,unknown,""
D753,Department of Agriculture and Rural Development,"","",Ministerial department,,unknown,""
D8,Department for International Development,"",DFID,Ministerial department,,,""
D85,Forestry Commission,"",Forestry,Non-ministerial department,,,D7
D853,"Department of Culture, Arts and Leisure","","",Ministerial department,,unknown,""
D854,Department for Employment and Learning,"","",Ministerial department,,unknown,""
D9,Department for Transport,"",DfT,Ministerial department,,,""
D974,Exchequer and Audit Department,"","",Ministerial department,,1983,""
D98,The Charity Commission,Charity Commission,Charity Commission,Non-ministerial department,,,""
DA1019,Welsh Government,"","",Devolved administration,,,""
DA1020,Scottish Government,The Scottish Government,The Scottish Government,Devolved administration,,,""
DA1021,Northern Ireland Executive,"","",Devolved administration,,,""
DA1105,Estyn,"","",Other,,,""
DA1146,"Department of Culture, Arts and Leisure Northern Ireland","",DCAL,Executive agency,,,""
EA1015,Crown Commercial Service,"",CCS,Executive agency,,,D2
EA104,NS&I,"",NS&I,Non-ministerial department,,,D15
EA1079,Animal and Plant Health Agency,Animal & Plant Health Agency,APHA,Executive agency,,,"D7, DA1019, DA1020"
EA1084,Government Internal Audit Agency,"",GIAA,Executive agency,,,D15
EA1109,National Measurement and Regulation Office,"",NMRO,Executive agency,,unknown,"OT569, D3"
EA1113,Defence Electronics and Components Agency,Defence Electronics & Components Agency,DECA,Executive agency,,,D17
EA1114,Highways England,"",Highways England,Other,,,D9
EA1119,Oil and Gas Authority,Oil & Gas Authority,OGA,Other,,,D1198
EA114,Royal Mint,"",RM,Other,,,D15
EA1213,Her Majesty’s Prison and Probation Service,Her Majesty’s Prison & Probation Service,HMPPS,Executive agency,,,""
EA199,Environment Agency,"",EA,Executive non-departmental public body,,,D7
EA242,Education Funding Agency,"",EFA,Executive agency,,unknown,D6
EA243,Standards and Testing Agency,Standards & Testing Agency,STA,Executive agency,,,D6
EA26,Companies House,"",Companies House,Executive agency,,,D1198
EA31,UK Space Agency,"","",Executive agency,,,D1198
EA32,The Insolvency Service,"",the Insolvency Service,Executive agency,,,D1198
EA321,HM Prison Service,"",HMPS,Executive agency,,,D18
EA33,National Measurement Office,"",NMO,Executive agency,,unknown,D3
EA34,Intellectual Property Office,"",IPO,Executive agency,,,D1198
EA365,Government Procurement Service,"",GPS,Executive agency,,2014-04-01,""
EA37,Fire Service College,"",FSC,Other,,,""
EA39,Planning Inspectorate,"",The Planning Inspectorate,Executive agency,,,"D4, DA1019"
EA40,Queen Elizabeth II Conference Centre,"",QEIICC,Executive agency,,,D4
EA41,Royal Parks,"",Royal Parks,Executive agency,,,D5
EA42,Defence Science and Technology Laboratory,"",Dstl,Executive agency,,,D17
EA44,Defence Support Group,"",DSG,Executive agency,,2015-03-31,D17
EA46,Met Office,"","",Executive agency,,,D1198
EA480,Public Health England,"",PHE,Executive agency,,,D12
EA49,Service Children's Education,"",SCE,Executive agency,,unknown,D17
EA50,Service Personnel and Veterans Agency,"",SPVA,Executive agency,,2014-04-01,D17
EA51,UK Hydrographic Office,"",UKHO,Executive agency,,,D17
EA52,Animal Health and Veterinary Laboratories Agency,"",AHVLA,Executive agency,,2011-04-01,D7
EA53,"Centre for Environment, Fisheries and Aquaculture Science",Centre for Environment Fisheries and Aquaculture Science,Cefas,Executive agency,,,D7
EA54,Forest Research,"","",Executive agency,,,D85
EA541,National College for Teaching and Leadership,National College for Teaching & Leadership,NCTL,Executive agency,,,D6
EA55,Forest Enterprise (England),"",FEE,Executive agency,,,D85
EA556,Legal Aid Agency,"",LAA,Executive agency,,,D18
EA56,The Food and Environment Research Agency,"",Fera,Executive agency,,unknown,D7
EA570,Driver and Vehicle Standards Agency,Driver & Vehicle Standards Agency,DVSA,Executive agency,,,D9
EA58,Rural Payments Agency,"",RPA,Executive agency,,,D7
EA60,Veterinary Medicines Directorate,"",VMD,Executive agency,,,D7
EA601,HM Courts Service,HM Court Service,"",Executive agency,,unknown,""
EA61,FCO Services,"",FCOS,Executive agency,,,D13
EA62,Wilton Park,"",Wilton Park,Executive agency,,,D13
EA624,Qualifications and Curriculum Authority,"",QCA,Executive agency,,2010-04-01,""
EA63,Medicines and Healthcare products Regulatory Agency,Medicines & Healthcare products Regulatory Agency,MHRA,Executive agency,,,D12
EA630,Rivers Agency,"","",Executive agency,,unknown,""
EA633,NHS Pensions Agency,"","",Executive agency,,2006-04-01,""
EA656,National Biological Standards Board,"","",Executive agency,,2008-07,""
EA66,HM Passport Office,"",HM Passport Office,Sub-organisation,,,D16
EA660,Public Health Laboratory Service Board,"","",Executive agency,,2004-08-02,""
EA67,UK Border Agency,"",UKBA,Executive agency,,unknown,D16
EA675,Northern Ireland Social Security Agency,"","",Executive agency,,unknown,""
EA685,Defence Analytical Services Agency,"","",Executive agency,,2008-04-01,""
EA687,Valuation and Lands Agency,"","",Executive agency,,unknown,""
EA689,Water Service (Northern Ireland),"","",Executive agency,,unknown,""
EA692,National Treatment Agency for Substance Misuse,"","",Executive agency,,2013-04-01,""
EA693,Ministry of Defence Police and Guarding Agency,"","",Executive agency,,2013-04-01,""
EA695,Ordnance Survey of Northern Ireland,"","",Executive agency,,unknown,""
EA696,Forensic Science Northern Ireland,"","",Executive agency,,unknown,""
EA697,Youth Justice Agency of Northern Ireland,"","",Executive agency,,unknown,""
EA698,Assets Recovery Agency,"","",Executive agency,,2008-04-01,""
EA70,National Offender Management Service,"",NOMS,Executive agency,,unknown,D18
EA700,Land Registers of Northern Ireland,"","",Executive agency,,unknown,""
EA701,Northern Ireland Statistics and Research Agency,"",NISRA,Executive agency,,,""
EA704,National Criminal Intelligence Service,"","",Executive agency,,2006-04-01,""
EA705,Medical Supplies Agency,"","",Executive agency,,2005-04-01,""
EA706,Armed Forces Personnel Administration Agency,"","",Executive agency,,2007-04,""
EA707,Compensation Agency,"","",Executive agency,,unknown,""
EA71,The National Archives,"","",Non-ministerial department,,,D5
EA715,General Teaching Council for England,"",GTCE,Executive agency,,2012-03-31,""
EA716,NHS Purchasing and Supply Agency,"","",Executive agency,,2010-03-31,""
EA717,Defence Aviation Repair Agency,"","",Executive agency,,2008-04-01,""
EA72,Office of the Public Guardian,"",OPG,Executive agency,,,D18
EA725,Northern Ireland Court Service,"","",Other,,unknown,D1073
EA729,Countryside Agency,"","",Executive agency,,2006-10-02,""
EA73,HM Courts & Tribunals Service,"",HMCTS,Executive agency,,,D18
EA735,Warship Support Agency,"","",Executive agency,,2005-04-01,""
EA74,Driver and Vehicle Licensing Agency,Driver & Vehicle Licensing Agency,DVLA,Executive agency,,,D9
EA740,Arts Council of Northern Ireland,"","",Executive agency,,unknown,""
EA75,Driving Standards Agency,"",DSA,Executive agency,,2014-04-01,D9
EA752,Labour Relations Agency,"","",Executive agency,,unknown,""
EA756,Social Security Agency,"","",Executive agency,,unknown,DA1021
EA764,Scottish Sports Council,"","",Executive agency,,unknown,""
EA765,Learning and Skills Council,"","",Executive agency,,2010-04-01,""
EA77,Highways Agency,"",HA,Executive agency,,2015-04-01,D9
EA771,Building Research Establishment,"","",Executive agency,,1997,""
EA78,Maritime and Coastguard Agency,Maritime & Coastguard Agency,MCA,Executive agency,,,D9
EA784,Veterinary Laboratories Agency,"","",Executive agency,,2011-04-01,""
EA785,Defence Procurement Agency,"","",Executive agency,,2007-04-01,""
EA788,Environment and Heritage Service,"","",Executive agency,,unknown,""
EA789,Defence Storage and Distribution Agency,"","",Executive agency,,2009-04-01,""
EA79,Vehicle and Operator Services Agency,Vehicle & Operator Services Agency,VOSA,Executive agency,,2014-04-01,D9
EA790,Training and Development Agency for Schools,"",TDA,Executive agency,,2012-04-01,""
EA791,Northern Ireland Health and Social Services Estates Agency,"","",Other,,unknown,""
EA792,Health Protection Agency,"","",Executive agency,,2013-04-01,""
EA797,Northern Ireland Prison Service,"","",Executive agency,,unknown,""
EA80,Vehicle Certification Agency,"",VCA,Executive agency,,,D9
EA808,Driver and Vehicle Testing Agency,"","",Executive agency,,2007,""
EA810,Northern Ireland Child Support Agency,"","",Executive agency,,unknown,""
EA813,Defence Communication Services Agency,"","",Executive agency,,unknown,""
EA816,Army Base Repair Organisation,"","",Executive agency,,2008-04-01,""
EA82,UK Debt Management Office,United Kingdom Debt Management Office,DMO,Executive agency,,,D15
EA821,Central Science Laboratory,"","",Executive agency,,2009-03-31,""
EA823,Disposal Services Agency,"","",Executive agency,,2007-04-01,""
EA829,Criminal Injuries Compensation Appeals Panel for Northern Ireland,"","",Executive agency,,unknown,""
EA830,Government Car and Despatch Agency,"","",Executive agency,,2009-12-30,""
EA832,Police Information Technology Organisation,"","",Executive agency,,2007-03-31,""
EA833,English Nature,"","",Executive agency,,2006-10-01,""
EA835,Housing Corporation,"","",Executive agency,,2008-12-01,""
EA836,Defence Medical Education and Training Agency,"","",Executive agency,,2008-04-01,""
EA843,Marine Fisheries Agency,"","",Executive agency,,2010-04-01,""
EA844,UK Government Decontamination Service,"","",Sub-organisation,,unknown,EA56
EA847,Appeals Service Agency,"","",Executive agency,,unknown,""
EA848,Defence Transport and Movements Agency,"","",Executive agency,,2007-04-01,""
EA86,Skills Funding Agency,"",SFA,Executive agency,,unknown,D6
EA860,National Patient Safety Agency,"","",Executive agency,,2012-07-09,""
EA87,Valuation Office Agency,"",VOA,Executive agency,,,D25
EA873,Meat Hygiene Service,"","",Executive agency,,2010-03-31,""
EA874,English Partnerships,"","",Executive agency,,2008-12-01,""
EA879,Rent Service,"","",Executive agency,,2009-04-01,""
EA882,"People, Pay and Pensions Agency","","",Executive agency,,2011-07-06,""
EA883,Defence Bills Agency,"","",Executive agency,,2007-04-01,""
EA884,Defence Vetting Agency,"","",Executive agency,,2012-04-01,""
EA900,Animal Health,"","",Executive agency,,2011-04-01,""
EA901,Renewable Fuels Agency,"","",Executive agency,,2011-04-01,""
EA904,National Policing Improvement Agency,"","",Executive agency,,2012-12,""
EA912,East Midlands Development Agency (emda),"","",Executive agency,,2012-03-30,""
EA917,East of England Development Agency,"","",Executive agency,,2012-07-01,""
EA918,South West of England Regional Development Agency,"","",Executive agency,,2012,""
EA919,South East England Development Agency,"","",Executive agency,,2012,""
EA920,Northwest Regional Development Agency,"","",Executive agency,,2012-07-01,""
EA921,One North East,"","",Executive agency,,2012-06-30,""
EA922,Northwest Business Link,"","",Executive agency,,2014-01-23,""
EA923,Yorkshire Forward,"","",Executive agency,,2012-06-30,""
EA924,"Pension, Disability and Carers Service","","",Executive agency,,unknown,""
EA927,Advantage West Midlands,"","",Executive agency,,unknown,""
EA929,National College for School Leadership,"",NCSL,Executive agency,,unknown,D6
EA932,British Educational Communications and Technology Agency,"",Becta,Executive agency,,2011-03-31,""
EA934,Tenant Services Authority,"","",Executive agency,,2010-10,""
EA949,Asset Protection Agency,"","",Executive agency,,2012-12-31,""
EA955,Office for Tenants and Social Landlords,"","",Executive agency,,2012,""
EA956,Qualifications and Curriculum Development Agency,"",QCDA,Executive agency,,2012-04-01,""
EA959,North West Development Agency,"","",Executive agency,,2012-03-31,""
EA960,Young People's Learning Agency,"",YPLA,Executive agency,,2012-03-31,""
EO1216,Education and Skills Funding Agency,Education & Skills Funding Agency,ESFA,Executive agency,,,D6
IM1123,Independent Anti-slavery Commissioner,"",IASC,Independent monitoring body,,,D16
IM1203,The Electoral Commission,"","",Independent monitoring body,,,""
IM320,Criminal Cases Review Commission,"",CCRC,Executive non-departmental public body,,,D18
IM324,HM Inspectorate of Prisons,Her Majesty's Inspectorate of Prisons,"",Other,,,D18
IM325,HM Inspectorate of Probation,Her Majesty's Inspectorate of Probation,"",Other,,,D18
IM327,Prisons and Probation Ombudsman,"",PPO,Other,,,D18
IM329,The Legal Ombudsman,"","",Other,,,D18
IM332,Legal Services Board,"",LSB,Executive non-departmental public body,,,D18
IM333,Judicial Appointments and Conduct Ombudsman,"",JACO,Other,,,D18
IM335,Independent Commission for Aid Impact,"",ICAI,Advisory non-departmental public body,,,D8
IM341,House of Lords Appointments Commission,"",HOLAC,Advisory non-departmental public body,,,D2
OT100,The Crown Estate,"","",Other,,,D15
OT1000,Further and Higher Education Funding Councils for Wales,"","",Other,,unknown,""
OT1001,Broadcasting Standards Commission,"","",Other,,2003-12-29,""
OT1002,"Department of the Environment, Transport and the Regions","","",Other,,2001,""
OT1003,Northern Ireland Judicial Appointments Ombudsman,"","",Other,,unknown,""
OT1004,United Kingdom Blood Transfusion Services,"","",Other,,unknown,""
OT1005,Gowers Review of Intellectual Property,"","",Other,,2006-12,""
OT1006,Barker Review of Land Use Planning,"","",Other,,unknown,""
OT1007,Leitch Review of Skills,"","",Other,,2006-12,""
OT1008,Cooksey Review,"","",Other,,unknown,""
OT1009,Varney Review,"","",Other,,2016-12-06,""
OT1010,Eliasch Review,"","",Other,,unknown,""
OT1011,Veterinary Residues Committee,"",VRC,Other,,2015-01,D7
OT1012,Administrative Justice and Tribunals Council Welsh Committee,"","",Other,,unknown,""
OT1013,Lyons Inquiry into Local Government,"","",Other,,2007-03,""
OT1014,Office of the Identity Commissioner,"","",Other,,2010-12,""
OT1016,Bank of England,"","",Other,,,D30
OT1018,Mid Staffordshire NHS Foundation Trust Public Inquiry 2010,"","",Other,,2010-02,""
OT1022,UK Co-ordinating Body,"",UKCB,Other,,,"D7, DA1019, DA1020, DA1021"
OT1023,HM Nautical Almanac Office,"",HMNAO,Sub-organisation,,,EA51
OT1025,Academy for Justice Commissioning,"","",Other,,unknown,D18
OT1026,Department for International Trade Defence & Security Organisation,"",DIT DSO,Sub-organisation,,,D1196
OT1027,Office of the Schools Adjudicator,"",OSA,Other,,,D6
OT1029,Operational Delivery Profession,"","",Sub-organisation,,,CS1028
OT1030,Policy Profession,"","",Sub-organisation,,,CS1028
OT1031,Project Delivery Profession,"","",Sub-organisation,,,CS1028
OT1032,Procurement profession,"","",Sub-organisation,,,CS1028
OT1033,Government Legal Service,"",GLS,Sub-organisation,,,CS1028
OT1034,Government Communication Service,"",GCS,Sub-organisation,,,CS1028
OT1035,Government Finance Profession,"","",Sub-organisation,,,CS1028
OT1036,Human Resources Profession,HR Profession,"",Sub-organisation,,,CS1028
OT1037,Government Economic Service,"","",Sub-organisation,,,CS1028
OT1038,Internal Audit Profession,"","",Sub-organisation,,,CS1028
OT1039,Government Property Profession,"","",Sub-organisation,,,CS1028
OT1040,Government Science & Engineering Profession,Government Science & Engineering,"",Sub-organisation,,,CS1028
OT1041,Government Statistical Service,"","",Sub-organisation,,,CS1028
OT1042,Government Operational Research Service,Government operational research service,"",Sub-organisation,,,CS1028
OT1043,Government Social Research Profession,Government social research profession,"",Sub-organisation,,,CS1028
OT1044,Government Planning Profession,"","",Sub-organisation,,,CS1028
OT1045,Government Planning Inspectors,Government planning inspectors,"",Sub-organisation,,,CS1028
OT1046,Government Tax Profession,"","",Sub-organisation,,,CS1028
OT1047,Government Veterinary Services,"","",Sub-organisation,,,CS1028
OT1048,Government Knowledge & Information Management Profession,Government knowledge & information management profession,"",Sub-organisation,,,CS1028
OT1049,Government Occupational Psychology Profession,Government occupational psychology profession,"",Sub-organisation,,,CS1028
OT1050,Government Corporate Finance Profession,"",GCFP,Sub-organisation,,,OT1186
OT1051,British Cattle Movement Service,"",BCMS,Sub-organisation,,,EA58
OT1052,Intelligence Analysis,"","",Sub-organisation,,,CS1028
OT1053,Government IT Profession,Government IT profession,"",Sub-organisation,,,CS1028
OT1054,Medical Profession,"","",Sub-organisation,,,CS1028
OT1055,Civil Service Reform,Civil Service reform,CSR,Sub-organisation,,,CS1028
OT1056,Government Digital Service,"",GDS,Sub-organisation,,,D2
OT1057,Macur Review,"","",Other,,,""
OT1058,The Jeffrey Review,"","",Other,,2014-05,D18
OT1060,Rural Development Programme for England Network,RDPE Network,RDPE Network,Sub-organisation,,,D7
OT1061,Government Chemist,"",Government Chemist,Sub-organisation,,,D1198
OT1063,Civil Nuclear Constabulary,"",CNC,Sub-organisation,,,PB194
OT1064,Centre for Defence Enterprise,"",CDE,Sub-organisation,,unknown,EA42
OT1065,Reserve Forces' and Cadets' Associations,"",RFCA,Other,,,D17
OT1066,Office for Disability Issues,"",ODI,Sub-organisation,,,D10
OT1067,UKTI Education,"",UKTI Education,Sub-organisation,,,"D3, D117"
OT1068,UKTI Life Sciences Organisation,Life Sciences Organisation,UKTI LSO,Sub-organisation,,,D117
OT1069,Immigration Enforcement,"",IE,Sub-organisation,,,D16
OT1070,Government Security Profession,"","",Sub-organisation,,,CS1028
OT1071,Military Aviation Authority,"",MAA,Sub-organisation,,,D17
OT1074,Information Services Division (Scotland),Information Services Division Scotland,ISD Scotland,Other,,unknown,""
OT1075,National Records of Scotland,"",National Records of Scotland,Other,,unknown,""
OT1076,Civil Service Resourcing,"","",Sub-organisation,,,CS1028
OT1077,Public Health Wales,"",PHW,Other,,,""
OT1080,District Valuer Services (DVS),"",DVS,Sub-organisation,,,EA87
OT1081,Regeneration Investment Organisation,"","",Sub-organisation,,unknown,D117
OT1082,Financial Services Organisation,"","",Sub-organisation,,,D117
OT1085,Financial Conduct Authority,"",FCA,Other,,,D15
OT1086,Stabilisation Unit,"",SU,Other,,,""
OT1087,Veterans UK,"",Veterans UK,Sub-organisation,,,D17
OT1088,Higher Education Statistics Agency,"",HESA,Other,,,D3
OT1089,National Counter Terrorism Security Office,"",NaCTSO,Other,,,D16
OT1090,National Information Board,"",NIB,Other,,,D12
OT1091,Office of the Registrar of Consultant Lobbyists,"",ORCL,Other,,,D2
OT1099,Independent Complaints Reviewer,"",ICR,Other,,,D1198
OT1100,Court of Protection,"",COP,Court,,,EA73
OT1101,Welsh Language Commissioner,"","",Other,,,""
OT1102,Careers Wales,"","",Other,,,DA1019
OT1103,Natural Resources Wales,"","",Other,,,DA1019
OT1104,NHS Wales Informatics Service,"","",Other,,,""
OT1107,Schools Commissioners Group,"","",Sub-organisation,,,D6
OT1111,Third Party Campaigning Review,"",Third Party Campaigning Review,Other,,2016-03-17,D2
OT1112,United Kingdom Reserve Forces Association,"",UKRFA,Other,,,D17
OT1116,Government Commercial Function,"",GCF,Sub-organisation,,,"CS1028, D2"
OT1121,Civil Service Fast Stream,"","",Sub-organisation,,,OT1076
OT1122,Independent Family Returns Panel,"",IFRP,Other,,,D16
OT1137,Accelerated Access Review,"",AAR,Other,,,D12
OT1148,British Business Bank,"",BBB,Other,,,D1198
OT1150,Radioactive Waste Management,"",RWM,Other,,,PB197
OT1151,Payment Systems Regulator,"",PSR,Other,,,D15
OT1153,Defence and Security Media Advisory Committee,"",DSMA,Other,,,D17
OT1161,National Infrastructure Commission,"","",Other,,,D15
OT1166,Infrastructure and Projects Authority,"",IPA,Other,,,"D2, D15"
OT1167,Civil Service Fast Track Apprenticeship,"","",Sub-organisation,,,OT1076
OT1168,Service Complaints Ombudsman,"","",Other,,,D17
OT1169,Financial Services Trade and Investment Board,"",FSTIB,Sub-organisation,,,D15
OT1173,Department for Communities (Northern Ireland),"","",Other,,,""
OT1174,Department for the Economy (Northern Ireland),"","",Other,,,""
OT1175,Department of Health (Northern Ireland),"","",Other,,,""
OT1176,Department for Infrastructure (Northern Ireland),"","",Other,,,""
OT1177,Department of Finance (Northern Ireland),"","",Other,,,""
OT1178,"Department of Agriculture, Environment and Rural Affairs (Northern Ireland)","","",Other,,,""
OT1179,The Executive Office (Northern Ireland),"","",Other,,,""
OT1180,National Data Guardian,"",NDG,Other,,,D12
OT1182,"Digital, data and technology professions","Digital, Data and Technology Profession","",Sub-organisation,,,CS1028
OT1184,Porton Biopharma Limited,"",PBL,Other,,,D12
OT1186,UK Government Investments,"",UKGI,Other,,,D15
OT1187,Office of Financial Sanctions Implementation,Office of Financial Sanctions Implementation HM Treasury,OFSI,Sub-organisation,,,D15
OT1189,Regulatory Delivery,"","",Sub-organisation,,,D1198
OT1190,Lammy Review,"","",Other,,,""
OT1191,Defence Safety Authority,"",DSA,Sub-organisation,,,D17
OT1192,Pubs Code Adjudicator,"",PCA,Other,,,""
OT1195,Iraq Inquiry,"","",Other,,2009,""
OT1200,Civil Service Board,"","",Sub-organisation,,,CS1028
OT1201,Cabinet Office Board,"","",Sub-organisation,,,D2
OT1206,Defence and Security Accelerator,"","",Sub-organisation,,,EA42
OT1207,Rail Safety and Standards Board,"",RSSB,Other,,,""
OT1208,Academy for Social Justice Commissioning,"","",Other,,,D18
OT1209,Her Majesty's Government Communications Centre,"",HMGCC,Other,,,""
OT1210,Preventing Sexual Violence Initiative,"",PSVI,Sub-organisation,,,D13
OT1211,National Cyber Security Centre,NCSC,NCSC,Sub-organisation,,,OT306
OT1215,Judicial Office,"",JO,Other,,,D18
OT1220,Sellafield Ltd,"","",Other,,,PB197
